Sentence,VADER_neg,VADER_neu,VADER_pos,VADER_compound,VADER_Sentiment
It's crazy that Mat Kilau movies can be a debate here and there (can't find the popcorn emoji . Corn too,0.118,0.882,0,-0.34,Negative
"for me . . it's the best thing . . I didn't see it at the movie , I still feel it . . then twice I saw it on netflix . . for me , its ok . . where is the perfect movie . we as humans are not perfect , this is a movie . Historical movies are boring . over ja malaysian netizens",0.04,0.723,0.238,0.91,Positive
"Our views will always be different . The important thing is to ""keep going"" to produce a movie that benefits the community . Good job team Matt",0,0.742,0.258,0.743,Positive
"At first , I didn't see the Mat Kilau at GSC , it's strange why the language is not right , but when you think about the logic of the spa language , you still want to use it for movies , you want to use b . baku , it's illegal for people to understand , right? I want to read the subs , I want to feel the scenes again . . I just got it . . Last , if you want to make a whole movie , use that language",0.079,0.83,0.091,-0.4678,Negative
"Now you won't believe how much American Political Agenda was shot in that movie but the story is pretty much shit through and through . The reason for its success is simple , Giant Transforming Robots Fight Each Other . Same goes with Matt",0.152,0.677,0.171,0.2617,Positive
I wonder what you want to fight so much about,0.239,0.642,0.119,-0.3182,Negative
"Hats off to netizens who only watch Mat Kilau on Netflix and criticize the movie . In netflix , there was a lot of trash movies before this , but I didn't raise high reviews , even though I watched many of them with similar storylines",0.045,0.955,0,-0.2023,Negative
"(In my opinion) Mat Kilau is ok if you want to see it , but it's not as good as it is hyped . There are still many flaws . But anyway , this movie is still successful in terms of",0.071,0.749,0.18,0.5915,Positive
"Pd I , not only experts are eligible to comment . Maybe yes , he is not a film maker , but he always watches other people's movies and works to have enough benchmarks vs the hype . Eg , I am a copywriter by profession . But as I watch manyyyyy movies , I think Mat Kilau's presentation is still not umph , much",0,0.964,0.036,0.2144,Positive
"After this , if there is a movie like Mat Kilau , I will wait for netflix",0,0.828,0.172,0.3612,Positive
Why? Because paskal looks too personal . Mat Kilau may be too flashy and not to my preference . The Air Force brings goosebumps . It seems that the struggle to escape from terrorists and the personal character element does not overshadow the patriotism element of the,0.13,0.835,0.035,-0.6908,Negative
Gosh!! I can't stand it . . . I feel nauseous and continue to breastfeed my child while watching a movie,0,1,0,0,Neutral
"What's wrong with mat kilau . . haiyaaaaa . . do you want a movie level like hollywood to mat? Haaa , I'm going to make a movie , will you see . . until it gets 10k collections? Erghhh . . so many songsehh",0.083,0.805,0.112,-0.168,Negative
10 mins,0,1,0,0,Neutral
"You're just a member of Netflix , you don't pay us , we pay for two months and free info for you bro , Netflix buys the movie Mat Kilau so its not FREE",0.099,0.734,0.166,0.0986,Positive
For me cite Mat Kilau is not perfect but to label this movie as bad is like not agreeing a little . . Who says this is bad I can say that people have very high expectations . . With collections up to 97 million so people remember cite Mat Kilau very much perfect &,0.285,0.664,0.051,-0.9413,Negative
"The Mat Kilau is decent . Best action , just love the camera , God . His dialogue is not very good but still shocked to see a Malay movie like this . 3/5 After this another hero",0.107,0.56,0.334,0.879,Positive
What about malay movie . . The title is MAT,0,1,0,0,Neutral
Most overrated movie . Mat Kilau . ,0,1,0,0,Neutral
May those who support and criticize Mat Kilau movies continue to contribute to the development of Malaysian films and raise the spirit of patriotism throughout,0.09,0.759,0.152,0.2023,Positive
Article Mat Kilau is also an issue? What are you arguing about the movie?,0.205,0.795,0,-0.5204,Negative
Mat kilau movie is Malay version of IP MAN . There I've said,0,1,0,0,Neutral
"Yes , he should have asked people why he was so bitter that he even defended the film . even though he's the one who's bitter when he criticizes the Mat Kilau movie that was released a long time ago",0.212,0.728,0.06,-0.7865,Negative
"most malaysians rn: you're sick of criticizing Mat Kilau movies! * okay , have fun watching shit movie quality in the next 10 years . while other countries already have a 'recipe' for certain types of movies . It's not , the story of history is like watching a special movement",0.162,0.619,0.22,0.3382,Positive
Great actor with great skills . Just often time with bad scripts and bad directors . Like I said . Bad movies = Mat Kilau is one of them . Bad performance = None in my,0.3,0.471,0.229,-0.5106,Negative
There are two groups that appear after looking at Mat Kilau . 1 . Turning Art 2 . Terpa Malay Just enjoy the movie and don't belittle people who don't like or like watching movies,0.118,0.726,0.156,0.3369,Positive
"Anywaysss it's not bad , it's Mat Kilau and I don't understand why people give bad reviews but yeah it's people's opinions and yes I do think they still have a lot of room for improvements . I'm proud that msians are now taking steps to produce this kind of movie more than the rempit one so",0,0.727,0.273,0.946,Positive
"We don't condemn Mat Kilau films for nothing , but for the people in the industry to improve their products because we want to make high quality films which our neighbors Thailand and Indonesia have been doing for the past 15-20 years . Please learn , won't you?",0,0.806,0.194,0.8335,Positive
It's a good feeling to watch a Mat Kilau movie with another netflix . That's why a lot of people say it's not the best when watching netflix Mat Kilau movies,0.106,0.755,0.139,0.0083,Neutral
"Watching Mat Kilau for the first time in Netflix . Its a bad movie . Cringy . The dialogue was unnatural . 1/10 . Luckily watch it in netflix , so I can say the netflix version is bad . ",0.183,0.731,0.086,-0.5719,Negative
"If you are looking for a decent anti-colonialist kung fu movie , 'Mat Kilau' is pretty good . As a westerner I like the movies where the colonialists are not the",0.133,0.623,0.244,0.4404,Positive
Staying myself away from Mat Kilau review so I can have my own thought about the,0,1,0,0,Neutral
I know Mat Kilau is bad and everything but I don't think that movie deserves 2/10 . Its 5 or,0.13,0.87,0,-0.3071,Negative
i watched mat kilau . and lasted only 30 minutes . then i changed marathon criminal minds . and alhamdulillah i didn't waste money buying tickets when people hyped this movie . cheated,0.209,0.718,0.073,-0.6562,Negative
"anyway . It's fun to see people fighting about the movie mat kilau . as a film that has been published , shown . it is what it is . let people want to criticize any comment . You are the one who decided to show the movie , so let people say what they want to say",0.091,0.804,0.105,-0.0516,Negative
It's noisier than this Mat Kilau movie . It sounds the same over and over again . . not appetizing to the,0,1,0,0,Neutral
Mat kilau is one of it if you want a bad movie . Bad performance maybe,0.363,0.57,0.067,-0.7717,Negative
Mat kilau is a decent movie but the sound effect wow,0,0.634,0.366,0.7351,Positive
"The best thing is what's bad , even if it's bad , at least this Mat Kilau can come to teaching , then it's easy for students to understand history instead of reading and memorizing from textbooks . Those who feel bad go make movies",0.196,0.672,0.132,-0.5267,Negative
It's sad to see so many people review this Mat Kilau film . No one is forcing you to watch it,0.227,0.773,0,-0.6486,Negative
"Every line in the script is like a religious/political talk . His action scene is ok . At this stage , the Msia audience says it's the best? A lot of people say don't compare with Hollywood , Bollywood etc etc but shouldn't we compare with the best so that we can improve? Mat Kilau",0,0.734,0.266,0.9429,Positive
Hikayat Merong Mahawangsa is the standard of Malay hero movies . Mat Kilau is literally a,0,0.783,0.217,0.5574,Positive
"I don't know . Mat Kilau stays 9/10 . One of the best movies that has been brilliant for me . With the actors & sentences that were thrown all A+ & hit my soul . Other people want to curse , curse . But Don't ""Insult""",0.103,0.731,0.166,0.1901,Positive
"Damn , they are fighting about Mat Kilau again . He was fighting about the movie that was playing at the cinema",0.302,0.627,0.071,-0.7096,Negative
"My mom reacted to the Mat Kilau movie: The story is okay , I enjoyed watching it . But the opponent's part , the camera is terrible . For me , I am like my mom . It's also fun to watch",0.093,0.652,0.254,0.7311,Positive
"It's not about matt kilau criticizing xbest . zhaf . . . don't criticize the movie please , don't insult taste",0.115,0.553,0.331,0.5699,Positive
"this mat kilau argument , the movie was good if u compared it to any other malaysian movies but nothing rly that astounding or extra-ordinary abt that movie . it was cringe thru n",0.141,0.801,0.058,-0.4211,Negative
"Whatever it is , Mat Kilau is the most commercially successful film in Malaysia to date . Syamsul Yusof played to his strength (he knows he can't art berat movie) and really knows his",0,0.75,0.25,0.8651,Positive
I want to curse the movie Mat Kilau . Don't curse Beto Kusyairy . I fought until the end,0.431,0.509,0.06,-0.8402,Negative
I don't want to defend and condemn more fictional movies whose characters are just coincidences with history . Fictional . Rekaan . We should not even care if Mat Kilau is wearing a superman shirt riding a dinosaur against the British while singing a song,0.156,0.844,0,-0.6652,Negative
Why are people bashing this Mat Kilaute film? Are your expectations high to the seventh heaven? The gist is not much but it's such a good movie to,0,0.797,0.203,0.7476,Positive
"The one that turns me off is this Mat Kilau , I see a lot of chatter but there is no content , I just want to check . Apparently the lesson you got from the movie is gonna mute this , have fun swearing in me",0.112,0.763,0.125,0.1531,Positive
It's also funny the fanatics who can't see people commenting on the Mat Kilau movie like this movie determines Malay sovereignty . Technical critics and pushy scripts . Each POV . Do you want a story that lifts silat and the script is okay but the budget is way lower but a good movie? My take is,0.099,0.732,0.169,0.4939,Positive
I'm glad I didn't watch Mat Kilau on the Cinema . I don't like it . I hope future movies will improve,0.193,0.555,0.252,0.3365,Positive
"Wanted to watch it on netflix , but read on twitter many people regret watching it . I'm sorry I didn't go to the theater . . well I watched the movie 365 days part",0.152,0.769,0.078,-0.3612,Negative
Okay,0,0,1,0.2263,Positive
"okay , just finished looking at the Mat Kilau . the movie was good 7/10 . if I'm syamsul yusof's sister , it's best to be able to comment on where to touch up for the audience to get what they want when watching a movie",0,0.782,0.218,0.8519,Positive
muted 'mat kilau' forever because I checked tweets fighting about the movie . what's stupid??? not,0.349,0.651,0,-0.7536,Negative
Wehh what people hype is so dull ehh i just watched it and I don't understand what makes people hype it that much . It's a great movie tho but gosh the acting is,0.068,0.854,0.078,0.0783,Positive
Might rewatch Mat Kilau since a lot of people came to see what I've missed during my first viewing near the stage . Before the rewatch I gave the movie a hensem/10 which can translate to a high,0.064,0.936,0,-0.296,Negative
"I wonder how many days people on twitter want to fight about this Mat Kilau movie? That day , when I went out on stage , there was already a row . . this continued the row . not",0.079,0.881,0.04,-0.3182,Negative
"When I first watched the movie , I was hoping it was Mat Kilau . Man gave a fantastic performance alongside Adi",0,0.701,0.299,0.7506,Positive
"Why is there so much hate on Mat Kilau? Chill bro , it's not normal to watch brain shutdown movies at any moment , Rokiah brother",0.147,0.853,0,-0.6096,Negative
"Tgk Comment , it's true that the film has a Mat Kilau finish , but the Malay people are divided . This movie is also a rowdy alliance . ",0,0.921,0.079,0.2263,Positive
"What do you expect this Malaysian film to be wow wow? People are amazed by Mat Kilau movies because Malaysia doesn't always have movies like that . But if you expect that there is no error , it is a big mistake",0.189,0.639,0.173,-0.4215,Negative
"Match the emotional hang name lol . That day , Zhaf cursed the yellow girl , you said it was her right as a ticket-paying audience to comment on the movie , what's the point of criticizing it , she insulted me even more . I'm criticizing and getting criticized by Mat Kilau fans . Hypocrite",0.189,0.734,0.077,-0.7506,Negative
"It's fun to curse the movie Mat Kilau . I'm quite happy that someone is willing to make a movie about a historical figure , not an influencer , a drug kingpin who speaks Malay plates , a rich family who wants to pay for it , a slapstick comedy that has no direction",0.123,0.644,0.233,0.807,Positive
who turned away Malay butthurt crazy people,0.286,0.714,0,-0.34,Negative
"As a movie lover , I hope the government does not sponsor historical movies and give exclusive contracts to Syamsul Yusuf . He's good but not good enough . Movie Mat Kilau was a disappointment . The good things about that movie are the actors , props , n choreography (excluding camera",0.081,0.64,0.279,0.8316,Positive
"To me the movie Mat Kilau is okay . Nothing to hate on . Lines are a bit cheesy tho . Color grading was off in some shots . Cameraworks is a little bad , not much . Tears were",0.085,0.741,0.174,0.3307,Positive
"why are people suddenly condemning this Mat Kilau movie? i watched it on cinema n i enjoyed it . it feels like it straight coming out of history textbook + the ending is ""tergantung"" i heard from somewhere that the actual Mat Kilau ran away after they won the fight? idk maybe tht was the",0.068,0.732,0.2,0.8299,Positive
"forget about negative comments on Mat Kilau's movie , I promise my men are all big fans of mat kilau , if you see them , you must do mat kilau stunts , ready to memorize the dialogue",0.142,0.736,0.122,-0.2023,Negative
"I've seen Mat Kilau when he praises it soar . Expectations are high . Last2 . I want to comment on the movie , first time there are many comments",0,0.83,0.17,0.5719,Positive
I am so thankful for not seeing in the theater Thank you for publishing Mat Kilau and helping me by not wasting my money watching the movie,0,0.668,0.332,0.8736,Positive
Decided to give Mat Kilau a chance . Waste of 30 minutes of my time that I can't get back . Wooden acting with poor cinematography . Even the action sequences from the 80's movies are better . Just lazy writing with poor,0.243,0.654,0.103,-0.765,Negative
"Personally , I don't like watching movies and TV shows . But I like the sentiment of the Mat Kilau story that brings the spirit of Malay identity and other noble values . I like to see a lot of happy families together , use the ramp to see , young people have the passion to know history , interest",0.098,0.581,0.321,0.9569,Positive
So there are people who record full movies on netflix and publicly post them on YouTube . Where is the morality when you are against,0,1,0,0,Neutral
"mat kilau's story (not the movie) is inspirational and should've been done right in the movie , bcs i am not feeling the malay propaganda in this",0.118,0.767,0.115,0.2335,Positive
"because I already know the story line & the sound at my house is not as good as in the movie . I will never watch a movie that I didn't understand the first time . I watched it again just once . I think it's best because I already know the storyline & I like it because I understand it , but it's upside down , people don't",0.03,0.892,0.078,0.3913,Positive
"If you don't see it , then why don't you believe the movie review on twitter? It's like people who force you to see the movie . If you don't meet your expectations , like other people , that's my opinion . X don't blame people's reviews . ",0,0.844,0.156,0.7215,Positive
Just got back home & caught my dad watching mat kilau again for the 2nd time . . He likes it . . He usually watches action western movie at Netflix only but now its malay time hehhe The movie not boring he said . . complete package . . ,0,0.9,0.1,0.5176,Positive
"I think it's time for the movie to die , there are people who condemn this movie , but at that time they all backed up and hit you . It's normal when you watch it back on TV , you'll be criticized because when you first saw it , you had high expectations and excitement . when I watch it the second time , I will like this movie",0.107,0.769,0.124,0.296,Positive
Why are the gangs of gangs who are angry about Mat Kilau being criticized? Are you the one who benefits from this movie or do you feel that the dignity of your nation and country is being challenged? Criticism This can be used as a step to further improve the level of our film industry . We already know there is potential,0.146,0.74,0.114,-0.3094,Negative
"This Mat Kilau story can be a type of investigative film . Detective movie . Find out who is the defector of Malay officials . At the end , Mat Kilau seems to have sacrificed himself for Pahang's victory , but the final scene shows him living in the forest . The black shirt with the raspy voice is there , all that's left is the mask . . . ",0.033,0.967,0,-0.2382,Negative
Butoh . Thank you 21 best coat . Mat Kilau is a movie,0,0.544,0.456,0.7717,Positive
"Casting for omputeh roles is inexplicably bad . WTF . Sikh soldiers are portrayed as one-dimensional sadists . Mat Kilau is political propaganda wrapped in a morality play — given the movie's cultural impact , a longer essay on this might be",0.231,0.714,0.055,-0.824,Negative
"Hahaha every month he subscribes not just to watch one story , not Mat Kilau but the movie on Netflix . I don't even have netflix free . But when you think about it , people want to wait for Netflix because they want to chill and save money",0,0.737,0.263,0.9178,Positive
In vain Mat Kilau fights to defend religion & homeland only for the modern generation to argue about,0.361,0.639,0,-0.7845,Negative
"Every commenter is persistent and makes a long thread about this Mat Kilau It's just a movie . In the movie , even cows fly to death . Are you really confused? Chill",0.2,0.8,0,-0.7574,Negative
"How are you triggered when people comment that they don't like the movie Mat Kilau? If you're Malay , do you have to like the movie? Chill it . It's just a movie . The best comments about the movie",0.11,0.79,0.101,0.327,Positive
"whatever twitter ppl said , i still like Mat Kilau glitter cuz im pretty simple . if i enjoyed the movie then i like it",0,0.582,0.418,0.8885,Positive
"Reading the comments on a channel that uploaded the full movie Mat Kilau (now private) really hurt . Ready to pray for cheap sustenance , go to hell",0.241,0.611,0.148,-0.6387,Negative
"For me , as long as I wear the tangak & like the Mat Kilau film , it's not enough to emphasize the Malaysianness . If you really want to be Malay totok , you have to learn all kinds of Malay dialects . It's a lively chat like Malay , but I don't understand all the Malay dialects that exist , ready to curse between",0.075,0.769,0.157,0.3064,Positive
"it's called ""mat kilau pahangan pahlawan"" but i don't see mat kilau BANGKIT , from the beginning he was a pro . i also believe the only reason malays were so quick to love it was because of how narrow our range of malay movies/dramas are . Kudos to kemba studio for this",0,0.809,0.191,0.9126,Positive
"I've seen Mat Kilau near Netflix . How can they collect hundreds of millions of ringgit when the quality of the soap opera story is better than this movie . Oh yes forget , who saw all the Palawans climbing the Malay Nazi Supremacy . Bani's life",0.04,0.818,0.143,0.5994,Positive
"It's a lot of fun watching this Mat Kilau movie . People's interests are different , right? I give",0,0.71,0.29,0.6486,Positive
Watched Mat Kilau on Netflix . For me the main weakness of the movie is that it did not do a good job in telling the history of Mat Kilau . It feels like a generic silat movie set during the British occupation . Who is Mat Kilau? How did he become a,0.101,0.851,0.048,-0.4031,Negative
Too much cinematography and character development critics for Mat Kilau movie . But for me just enjoy the movie . Just chill,0.067,0.753,0.18,0.5719,Positive
"Have your own opinion . . about this Mat Kilau . . at least there is anger towards the colonialists . . that's good enough . . sometimes these tribes are one thing more than foreign movies . . littered with stories about movies . . for me , Malaysians rarely do factual stories . . want to ask to read history , kaji . jauh . . read a novel",0.065,0.822,0.114,0.2023,Positive
"Malaysian animated movie like upin ipin , boboiboy & agent ali far better then matt kilau even though it's target audience",0,0.759,0.241,0.6597,Positive
"Watched it with an open mind , but Mat",0,1,0,0,Neutral
"Why do many people say Mat Kilau's story is bad/give a bad rating? That's why before this , why can the movie explode?",0.162,0.838,0,-0.594,Negative
"Well for me . . from the point of view of the movement of the camera in Mat Kilau , it is less like a Hollywood action movie . . . but I appreciate the script in that movie more . . how are the characteristics of the Malays that cause the invasion of colonists , consumed by incitement and influence",0,0.875,0.125,0.6911,Positive
I cried 2 times while watching the movie,0.342,0.658,0,-0.3818,Negative
"Can't compare with anything . The movie itself is cringe , more action but shakes here and there , the sound doesn't match the action shown . If the Mat Kilau is good for you , I guess that's your standard of 'a good movie'",0,0.828,0.172,0.8271,Positive
Fate is not a die-hard movie watcher . I want to see an Elvis movie and I haven't decided to settle for weeks . not to mention mat,0,0.944,0.056,0.0772,Positive
gonna block everyone who complains about mat kilau i know movies are open for criticism but idc yall are just miserable people who's,0.357,0.643,0,-0.8402,Negative
"It's a pity to curse the movie Mat Kilau , but when I first went to the cinema , I didn't even see the noob review , then I didn't see it",0.19,0.81,0,-0.4854,Negative
Matt,0,1,0,0,Neutral
I've seen Mat Kilau on netflix already . Syamsul Yusuf's typical action movie . I'm so bored that I don't feel like commenting . ,0.212,0.788,0,-0.5929,Negative
"I see the best . Your mind is narrow to make a comparison with Hollywood , it's really different , people with a budget of ten million . Matt kilau is a movie about history , where can you turn it away like an action or sci-fi movie , you expect",0,0.853,0.147,0.7717,Positive
Even Mat Kilau movie articles want to fight,0.263,0.606,0.131,-0.3182,Negative
"Are you talking about Mat Kilau again? That brother has collected millions of other people who are satisfied with hate , he doesn't need to insult us who watch it . . I like watching that movie because he talks about former fighters and Islam . . this movie is not the way that brother preaches & that's why some people don't like it",0.074,0.768,0.158,0.681,Positive
"Also , the one who made Cite Mat Kilau is Syamsul Yusof , one of the best movie authors in Malaysia . If the movie he made is a lot of complaints , let alone another author who produced the story . Anyway , it's ok , at least there is a story that shows about history",0.085,0.799,0.116,0.4019,Positive
"Well said mate! I'm not a fan of history , but because the movie Mat Kilau has an exhaustive chapter on the history of Mat Kilau , I'm looking for reading sources . He has that effect , I can feel it baby . That's for me , to get distracted by other movies",0.132,0.837,0.031,-0.6216,Negative
"Mat Kilau eh? hahahhaha , here it is . . . it's just a movie . that's right bro . It's like turning everything away . just let him or her be . scroll",0,0.906,0.094,0.3612,Positive
"Sept 18 , 2022 - I haven't seen Mat Kilau yet , no movies & no Netflix . Anyone who has seen it , understands that it is a movie , not the History Channel . So there is a little adjustment , so chill . . just enjoy it",0.108,0.808,0.085,0.0164,Neutral
The full movie is available on YouTube,0,1,0,0,Neutral
I hope you can see what it's like behind the scene battle movie 1917 . Then just see how Syamsul Yusof made the Mat scene,0.093,0.714,0.193,0.4215,Positive
MANA MOVIE REVIEWER BAD CRITICS KAW KAW KAT PILM MAT KILAU SAMSOL USOP ALMOST HERE I SUBSCRIBE UNFOLLOW UNSUBSCRIBE DISLIKE BLOCK DON'T RECOMMEND CHANNEL,0.425,0.575,0,-0.9064,Negative
"A lot of movies are propaganda but a bad movie is just bad . Also , Chaplin thrives in silent comedy so when this scene comes , although quite obvious a propaganda , it intrigues the audience to listen . Mat Kilau on the",0.275,0.611,0.114,-0.836,Negative
"Psl , if I watch the movie , it will go down my throat . . Dok hirau review All . . just like I like eternally , there are people who don't like it . I don't like Mat Kilau , there are people who like it . . ",0,0.713,0.287,0.8885,Positive
"Haven't watched Mat Kilau . Had a chance to see the Air Force . It's not the kind of diligent to watch movies actually , but people invite us onz . Usually had time to sleep in there But watching AirForce that day , I didn't even feel sleepy . Luck",0,0.844,0.156,0.7506,Positive
"Its an adaptation based on what actually happened , of course some modifications were made . The two scenes practically made the whole movie bro . Mat kilau is a real figure and how he was depicted fits his description in history , whether you like it or not",0,0.945,0.055,0.3612,Positive
"So I watched Mat Kilau today with my dad and the scene where the wife died made me cry and my uncle asked me ""Uy ngano ni hilak ka?"" (Why are you crying?) and I pretended that I was reading a sad webtoon manwha but anyways , it's a great movie and I'd rate it an",0.116,0.788,0.097,0.3839,Positive
"I don't watch it since I don't like the movie . but if you want to see action packed , then its a good movie . I don't want to roar at Mat Kilau fans if I don't like it . if you want to Mat Kilau , no problem",0.208,0.63,0.162,-0.522,Negative
someone shared mat kilau movie in my telegram . . should i watch it or,0,0.821,0.179,0.34,Positive
"It's as if he opened a Mat Kilau movie just to contrast with the one he saw on the stage before , he just wants to say the Mat Kilau Mat Kilau story is bad , low iq , shaky camera , only for Malay , only 10 minutes",0.158,0.842,0,-0.7579,Negative
Remember we have moved on from Mat Kilau when the movie release near the cinema . Now we're all back to square one,0,1,0,0,Neutral
"The only bad thing in this movie is that , they didn't make it clear enough what race and what religion Mat",0.23,0.77,0,-0.6892,Negative
"Louder sis . . I'm tired . When do you want to finish this Mat Kilau topic?? If it's just a review and opinion , just do it . . No need to criticize other people's taste . . Support local movies but criticize with",0.216,0.712,0.071,-0.7278,Negative
"That day someone asked for an opinion on which Mat Kilau with Air Force is the best . I said it , air force . . He should have started a long description that is Mat Kilau and Mat Kilau , it's the best blah blah blah Duh , I just like watching movies . . It's rare to judge from the cinematography , background music , camera , etc . ",0.065,0.768,0.167,0.8658,Positive
"It's not like that . Don't judge people like that . For me , I feel crazy and strange when I read the replies in this thread that are all about Mat Kilau . . Just enjoy it , just watch the movie",0.202,0.721,0.077,-0.4973,Negative
"A lot of people comment on the movie , your expectations are very high . The movie is normal but for me , I want to compare it to other Malay movies",0,0.947,0.053,0.1154,Positive
"Even though I'm a fan of Marvel movies and don't have much interest in Malay movies , the Mat Kilau is better than Thor's stupid joke . Again",0.168,0.542,0.291,0.5139,Positive
"Mat Kilau is the FIRST PROJECT of the entire planned franchise and his success at the box office was unexpected . The movie wasn't supposed to be as great as you expected , MK is just an introduction and also can be considered as a ""test",0,0.84,0.16,0.8316,Positive
"i got to watch mat kilau @ cinema and personally think it was overrated back then . It's not that bad , but it was normal for me . now kena bash mybe bcs people have high expectation on that movie , ",0,0.948,0.052,0.2323,Positive
"I'm relieved I didn't see the Mat Kilau movie , no",0.186,0.593,0.22,0.1027,Positive
Mat kilau fans say that they curse mat kilau now are Bangsa Netflix lmaooo luv how seriously they take their fandomship . Also I watched it in the cinema and back then already found it bad . Luv how if you curse the movie you will be swarmed on FB being called an ungrateful,0.248,0.752,0,-0.9349,Negative
you,0,1,0,0,Neutral
"Aoi . . . 2-3 months ago you guys were making noise about Mat Kilau movies . . . then you are making noise again . . . the noise is not the ones you see at the cinema (which helped local cinemas/gov tax , but at Netflix (profit to overseas) . People who Just watch it at the movie . Stupid",0.086,0.914,0,-0.6808,Negative
"no body love british or hating mat kilau himself , we know ckp psl quality movie n tk fhm why ppl bashing like become apostate if ckp this movie is normal , over betul dh become level if rajnikanth's character dies on stage kna",0.112,0.752,0.136,0.296,Positive
"For those of you who are arguing about the Mat Kilau that got hundreds of millions , right? I want to know the amount of the lawsuit he got for the box office movie Gadis",0.135,0.829,0.036,-0.5574,Negative
Why are people so stressed about Mat Kilau? It is not the greatest movie on earth but I do enjoy it,0.166,0.666,0.168,0.2635,Positive
There are also a few of our society who are stupid . Comparing Mat Kilau movies with commercials about consensus,0.167,0.833,0,-0.5267,Negative
"why is there a season 2? why are there still so many people coming back after this movie? hasn't it been released for a long time? no , genuinely",0.099,0.901,0,-0.4098,Negative
"People hype about Mat Kilau because we are thirsty for the historical film genre But if people don't like the movie , it doesn't make them anti-Malay or whatever . The movie itself sucks . It can't be helped No Mat Kilaur how we quarrel , Syamsul Yusof is still rich and we still complain about why tomorrow",0.14,0.749,0.111,-0.2342,Negative
"Btw , right , you don't like the action scene in Mat Kilau because it's noisy and over like a Tamil movie? I'm your fav father . Because I like Tamil movies . Mom , I like Tamil movies Vangan Vangan . Even using a banana can kill . Because we watch movies to enjoy",0.26,0.631,0.109,-0.7677,Negative
"Movie reviewer Malay in 2023 be like: ""For me , Mat Kilau is not the best , the dialogue feels unnatural and there are many scenes where the camera shakes very badly . So my rating",0.172,0.764,0.064,-0.6441,Negative
"Just watched Mat Kilau on Netflix , best , there is a standard . But it's not as good as Zhaf's review . He hyped the movie too much . Although 3/5",0.105,0.808,0.088,-0.1303,Negative
"A lot of people downgrade Mat Kilau movies after they come out on Netflix . If you want to see , see , don't make noise",0,0.942,0.058,0.0772,Positive
"I just want to appreciate Mat Kilau just as it is . A movie with great fighting scenes . You can see the effort from importing outside actors . The historically part is the last thing I want to comment on . As compem cincai . As a script writer , I don't want to highlight it I have a lot of speeches",0.078,0.738,0.184,0.6327,Positive
"One of the factors behind the success of Mat Kilau was that Lightyears was not aired , nor was Thor . There is no competition from other movies for legs",0.069,0.815,0.116,0.3612,Positive
Are Mat Kilau the movie and Lawrence of Arabia of the same,0,1,0,0,Neutral
"Kannnnn , I don't know , lately a lot of people are criticizing that Mat Kilau movie , but it's not good during the screening . ",0.213,0.787,0,-0.5939,Negative
"Maybe for bro this movie is a popcorn movie . But maybe there are a few who take it as knowledge . Because there are people who start to discover the original story of psl heroes mat kilau and other heroes . Ok what . . ""I mean a few , you know . Not",0,0.737,0.263,0.9398,Positive
"I don't know why you want to defend the Mat Kilau movie so much , the quality is not equal , the standard of SY has that movie , he is good at trying new things & has a strong influence in commercial but the movie does not depict the real atmosphere of Mat Kilau",0,0.898,0.102,0.5023,Positive
"Yes correct . But please make the story of the prophet and make it a historical fiction movie . That's what I don't agree with . Ni Kisah mat kilau Beb: Even though it's big , it's not the same . But there is also input , right: psl silat psl religion psl war with colonialists . So we take it as good input",0.12,0.75,0.13,-0.0938,Negative
can Mat Kilau do better? yes But it was,0,0.648,0.352,0.4215,Positive
"It's true that Pramlee also makes period films using the standard language of his time , but the presentation of his time is better . but I swear this project is close to syamsul yusuf , for me he is good at popcorn movies and Mat Kilau shouldn't be popcorn movies",0.024,0.798,0.178,0.8519,Positive
for me Mat Kilau movie is exactly for the BMF,0,1,0,0,Neutral
"Saying Mat Kilau a bad movie not going to make you cool . . . And I am not cool . . . Eye candy from the style frame but not in actual footage and it the movie is forcing too much . To be honest , most of the movies by Samsul have a cringy script . I felt funny rather than",0.038,0.765,0.197,0.8537,Positive
Is it really bad to watch the movie Mat Kilau? I didn't see it tonight . Because the member asked him yesterday,0.166,0.834,0,-0.5849,Negative
"yes its in bad taste to say about audience has iq . we critique mainly the storytelling like low iq meaning no complexity in characters arcs , so you can shut down ur brain and enjoy . Let's call it popcorn movie . but it's a pity that the legend is like a Mat Kilau made like that",0.129,0.678,0.192,0.6124,Positive
"Sis , because here , if we talk about other barbie movies , my personality is a little bubbly . so bear w me eh character is sis , it must be worse than the British character in mat",0.091,0.909,0,-0.4767,Negative
"For me , right , before you want to see the history of the movie , you have to look at his character . Mat kilau is a warrior + scholar , it must be his context about Islam and the struggle . Let's talk a little about Islam",0.055,0.913,0.031,-0.25,Negative
A lot of people turned to foreigners after the release of the movie Mat Kilau,0,1,0,0,Neutral
I don't know . . I don't even get money after fighting so hard . Just,0.327,0.673,0,-0.5214,Negative
"This Mat Kilau is for those who are interested in 100% action movies , they will really love it You really have to force your eyes and ears to watch this movie until it ends at the cinema",0,0.83,0.17,0.8016,Positive
Can you imagine that the sacrifice that they do . At the end of the movie you can see most of the villagers come to help Mat Kilau . It does really happen . Guerrilla war as it was called . Please don't mock it if you never appreciate the history . I feel sad,0.159,0.718,0.122,-0.4922,Negative
